優先,類別,項目,影響列或引用,狀態,原因,建議,證據位置
P2,player,基利安·恩尔迪里亚,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:14; Bundesliga_Elf_des_Jahres:36; Bundesliga_Elf_des_Jahres:47
P2,player,安德鲁·罗伯特松,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:83; PL_PFA_Team_of_Year:94; PL_PFA_Team_of_Year:116
P2,player,尼科尔·特雷索尔迪,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:32; Bundesliga_Torjagerkanone:4; Bundesliga_Torjagerkanone:9
P2,player,布莱梅,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:70; Serie_A_Team_of_Year:92; Serie_A_Team_of_Year:103
P2,club,拜仁慕尼黑,3,需主檔指定主 ID,受控俱樂部身分可能重複,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:40; Club_Dim:41; Club_Dim:266
P2,player,昆腾·玛杜罗,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:8; Bundesliga_Elf_des_Jahres:40; Bundesliga_Elf_des_Jahres:62
P2,player,梅尔文·巴德,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:6; Ligue1_UNFP_Best_XI:61; Ligue1_UNFP_Best_XI:83
P2,player,穆哈默德·阿里·楚,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:4; Premier_League_Golden_Boot:13; PL_PFA_Team_of_Year:23
P2,player,若纳唐·科雷亚,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:133; Ligue1_Golden_Boot:36; Ligue1_Golden_Boot:4
P2,player,达维德·法拉特西,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:41; Serie_A_Team_of_Year:52; Serie_A_Team_of_Year:64
P2,player,马克·安德雷·特尔·施特根,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:79; Ligue1_UNFP_Best_XI:90; Ligue1_UNFP_Best_XI:101
P2,player,亚历山德罗·布翁乔尔诺,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:48; Serie_A_Team_of_Year:59
P2,player,伊斯梅尔·加尔比,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:31; Bundesliga_Elf_des_Jahres:42
P2,player,何塞·马丁内斯,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:38; Bundesliga_VDV_Newcomer:29
P2,player,來源未填姓名,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,LaLiga_Team_Season_Raw:180; LaLiga_Team_Season_Raw:184
P2,player,保罗·哈特曼,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:133; Bundesliga_Torjagerkanone:37
P2,player,华金·莫拉,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:127; Bundesliga_Elf_des_Jahres:6
P2,player,古格列莫·维卡里奥,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:46; PL_PFA_Team_of_Year:68
P2,player,埃万·恩迪卡,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:28; Serie_A_Team_of_Year:37
P2,player,奥斯卡·佩里亚,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:21; Ligue1_UNFP_Best_XI:32
P2,player,安吉洛,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:131; Bundesliga_VDV_Player:3
P2,player,尼古拉斯·赛瓦尔德,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:19; Bundesliga_Elf_des_Jahres:30
P2,player,尼尔·马乌佩,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:27; Ligue1_Golden_Boot:31
P2,player,尼科·施洛特贝克,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:27; Bundesliga_Elf_des_Jahres:48
P2,player,希拉里特·西林,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Barcelona_LaLiga_Best_XI:126; LaLiga_Player_of_Year:17
P2,player,帕斯卡尔·盖,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:107; Bundesliga_Elf_des_Jahres:118
P2,player,德尼茨·乌达夫,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Torjagerkanone:19; Bundesliga_Torjagerkanone:30
P2,player,法比奥·席尔瓦,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:6; Ligue1_Golden_Boot:12
P2,player,泰隆·科斯塔,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:20; Serie_A_Team_of_Year:42
P2,player,洛伦佐·卢卡,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Capocannoniere:12; Serie_A_Capocannoniere:31
P2,player,爱德华多·博韦,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:130; Ligue1_UNFP_Best_XI:9
P2,player,爱德华多·卡马温加,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:31; PL_PFA_Team_of_Year:75
P2,player,约翰·巴卡约科,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:10; Ligue1_UNFP_Best_XI:54
P2,player,维科托·久卡诺维奇,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:33; Bundesliga_Elf_des_Jahres:44
P2,player,耶霍尔·亚尔莫柳克,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:21; Bundesliga_Elf_des_Jahres:51
P2,player,胡里奥·恩西索,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:132; Serie_A_Team_of_Year:22
P2,player,若奥·帕尔辛哈,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:74; Bundesliga_Elf_des_Jahres:96
P2,player,西奥·埃尔南德斯-卡斯坎特,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:37; Ligue1_UNFP_Best_XI:50
P2,player,费代里科·夏缇,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:71; Serie_A_Team_of_Year:93
P2,player,里斯·詹姆斯,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:3; PL_PFA_Team_of_Year:14
P2,player,阿尔曼·阿斯卡罗夫,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:43; Bundesliga_Elf_des_Jahres:54
P2,player,阿提姆·多夫比科,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Capocannoniere:16; Serie_A_Capocannoniere:19
P2,player,雷纳托·韦加,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:5; Serie_A_Team_of_Year:17
P2,player,马尔钦·布卡,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:123; Bundesliga_Elf_des_Jahres:57
P2,player,马库斯·奎伦,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:27; Golden_Shoe:33
P2,player,马泰斯·德·莱特,2,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:49; PL_PFA_Team_of_Year:71
P2,player,Dominik Sukiennicki,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:7
P2,player,Jorthy Mokio,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:13
P2,player,Lucá Williams-Barnett,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Capocannoniere:3
P2,player,丹尼尔·埃万斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:129
P2,player,丹尼尔·赫卢赛维奇,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:36
P2,player,丹尼尔·里特尔,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Torjagerkanone:3
P2,player,丹泽尔·邓弗里斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:80
P2,player,乔·戈麦斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:105
P2,player,乔纳斯·温德,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Torjagerkanone:21
P2,player,乔纳赫·库斯-奥萨雷,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:7
P2,player,亚历克斯·格里马尔多,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:94
P2,player,亚历克斯·梅雷特,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:35
P2,player,亚历山德罗·希尔卡迪,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:5
P2,player,亚历山德罗·比安科,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:29
P2,player,亨里克·姆希塔良,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:119
P2,player,伊万·普安德,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:90
P2,player,伊戈尔·斯塔扎勒克,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:27
P2,player,伊萨克·汉内松,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:73
P2,player,伊诺克·马斯托拉斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:21
P2,player,克里斯托弗·恩昆库,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:120
P2,player,凯·哈弗茨,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:19
P2,player,利昂·格雷茨卡,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:117
P2,player,利桑德罗·马丁内斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:48
P2,player,加布里埃尔·泰奥多罗·马丁内利·席尔瓦,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:76
P2,player,卢卡斯·伯格瓦尔,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:128
P2,player,卢卡斯·赫拉德茨基,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:112
P2,player,卢特沙雷尔·海特勒伊达,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:47
P2,player,吉奥瓦尼·迪洛伦索,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:91
P2,player,哈姆扎·布哈里,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:7
P2,player,哈康·阿纳尔·哈拉尔德松,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:129
P2,player,哈比卜·贡萨,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:34
P2,player,图尔坎·冈萨雷斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:15
P2,player,图尔坎·古铁雷斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:29
P2,player,圣马洛·古斯托,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:3
P2,player,埃里克·马特尔,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:7
P2,player,埃马努埃莱·巴莱里,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:50
P2,player,塞尔希·沃洛辛,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:4
P2,player,塞萨尔·阿劳霍,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:62
P2,player,多米尼克·索博斯洛伊,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:42
P2,player,多米尼克·索朗克,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:30
P2,player,安德烈亚·坎比亚索,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:94
P2,player,安特·布迪米尔,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:31
P2,player,尤素夫·恩达伊什米耶,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:95
P2,player,尼基塔·萨尔特科夫,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:9
P2,club,布萊頓,1,需主檔指定主 ID,受控俱樂部身分可能重複,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:36; Club_Dim:241
P2,player,布里安·克里斯坦特,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:106
P2,player,布里安·姆贝乌莫,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:34
P2,player,布雷恩·布洛贝,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:22
P2,player,德乔·卡瓦略,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:9
P2,player,托马斯·特路,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:36
P2,player,扬·索默,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:79
P2,player,拉斐尔·路易斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:130
P2,player,拉斐尔·马丁斯·马奎斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:22
P2,player,斯特拉辛加·帕夫洛维奇,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:26
P2,player,昆滕·玛杜罗,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:126
P2,player,曼努埃尔·诺伊尔,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:112
P2,player,曼努埃尔·阿坎吉,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:115
P2,player,本·穆勒,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:5
P2,player,本杰明·塔希罗维奇,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:128
P2,player,本杰明·帕瓦尔,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:113
P2,player,朱利亚诺·卡萨,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:9
P2,player,朱利安·布兰特,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:120
P2,player,杰森·范道芬,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:30
P2,player,松田昌伊茨,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:35
P2,player,比伊·吉尔摩,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:95
P2,player,法比奥·米雷蒂,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:86
P2,player,法里斯,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:10
P2,player,特雷姆·莫菲,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:33
P2,player,瓦伦丁·巴科,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:30
P2,player,皮埃尔·卡卢卢,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:104
P2,player,穆罕默德·桑西·西马坎,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:50
P2,player,米基·范德文,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:37
P2,player,米歇尔·迪·格雷戈里奥,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:101
P2,player,米洛斯·克尔克兹,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:124
P2,player,约瑟夫·朱尔莱德,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:10
P2,player,约翰尼·贝迪尼,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:19
P2,player,纳乔·菲力,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:6
P2,player,维尔弗里德·辛戈,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:25
P2,player,维尼修斯·儒尼奥尔,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:109
P2,player,罗梅·杰登·奥乌苏·奥杜路,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:123
P2,player,罗梅卢·卢卡库,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Capocannoniere:34
P2,player,胡利安·瑞尔森,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:102
P2,player,艾伦·奥班多,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:10
P2,player,若奥·费雷拉,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:69
P2,player,若昂·佩德罗,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:21
P2,player,若泽·古斯塔沃·赫南德斯·雷亚,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:18
P2,player,莱昂纳多·门迪奇诺,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:8
P2,player,菲利普·塔姆克,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Torjagerkanone:6
P2,player,萨穆埃尔·楚库泽,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:86
P2,player,萨艾·恩塞克,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:124
P2,player,蒂姆·克莱因丁斯特,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Torjagerkanone:33
P2,player,蒂诺·利夫拉曼托,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:47
P2,player,詹卢卡·斯卡马卡,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Capocannoniere:21
P2,player,詹姆斯·加纳,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:20
P2,player,谢尔盖·平亚戈夫,1,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:20
